ALLAPOT|AR|EGESZ_SZOBAK|EMELET|FELSZOBAK|FUTES|KERT_TERULET|KERULET|KILATAS|KOMFORT|LIFT|PARKOLAS|SAVE_DATE|SZINTEK|TERULET|TETOTER|URL|UTCA|VAROSRESZ
felújított|13.400000|2.000000|1|0.000000|gáz (cirko)||14||összkomfortos|nincs|utcan|2013.04.09||51.000000|-1|http://ingatlan.com/xiv-ker/elado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+javorka+adam+utca/7118312?sid=0&|Jávorka Ádám utca|
|14.990000|2.000000|2|0.000000|házközponti egyedi méréssel||8||összkomfortos|van|garazs|2013.04.09|7|70.000000|-1|http://ingatlan.com/jozsefvaros-nagykoruton-kivul/elado+lakas/tegla-epitesu-lakas/budapest+8+kerulet/20023782?sid=0&||Józsefváros - Nagykörúton kívül
|64.000000|4.000000|1|0.000000|gáz (cirko)||2|panorámás|duplakomfortos|van|garazs|2013.04.09|2|104.000000|-1|http://ingatlan.com/torokvesz/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet/6718983?sid=0&||Törökvész
|26.900000|3.000000|2|0.000000|házközponti egyedi méréssel||9|utcai|összkomfortos|van|garazs|2013.04.09||81.000000|-1|http://ingatlan.com/rehabilitacios-terulet-ix/elado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+angyal+utca/7115230?sid=0&|Angyal utca|Rehabilitációs terület
|118.000000|4.000000|0|0.000000|fan-coil||2||luxus|van|garazs|2013.04.09|3|145.000000|-1|http://ingatlan.com/pasaret/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+gabor+aron+utca/7165228?sid=0&|Gábor Áron utca 25|Pasarét
|59.000000|4.000000|0|0.000000|gáz (cirko)||11||összkomfortos|van|kulteri|2013.04.09|10|121.000000|-1|http://ingatlan.com/feneketlento/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+ulaszlo+utca/7165251?sid=0&|Ulászló utca 31|Feneketlen-tó
felújított|7.900000|1.000000|1|0.000000|gáz (konvektor)||11||összkomfortos|nincs|utcan|2013.04.09|3|23.000000|-1|http://ingatlan.com/kelenfold/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartfai+utca/7164986?sid=0&|Bártfai utca|Kelenföld
|23.000000|2.000000|3|0.000000|házközponti egyedi méréssel||11|utcai|összkomfortos|van|garazs|2013.04.09||51.000000|-1|http://ingatlan.com/nadorkert/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+nadorliget+utca/7136534?sid=0&|Nádorliget utca|Nádorkert
jó állapotú|16.490000|2.000000|2|0.000000|gáz (konvektor)||11|utcai|összkomfortos|nincs|utcan|2013.04.09||50.000000|-1|http://ingatlan.com/kelenfold/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+halmi+utca/7201368?sid=0&|Halmi utca|Kelenföld
|16.700000|1.000000|4|1.000000|gáz (cirko)||11||összkomfortos|nincs|nincs|2013.04.09||39.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/7159900?sid=0&||
|17.800000|3.000000|0|0.000000|||11|||nincs|nincs|2013.04.09||71.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+ratz+laszlo+utca/7076047?sid=0&|Rátz László utca|
|22.000000|0.000000|0|0.000000|házközponti egyedi méréssel||11|panorámás||van|garazs|2013.04.09||42.000000|-1|http://ingatlan.com/kelenfold/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+szeremi+ut/7164211?sid=0&|Szerémi út|Kelenföld
|21.900000|2.000000|0|0.000000|házközponti egyedi méréssel||11||összkomfortos|van|utcan|2013.04.09||48.000000|-1|http://ingatlan.com/madarhegy/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+rupphegyi+ut/7064052?sid=0&|Rupphegyi út|Madárhegy
jó állapotú|17.900000|2.000000|0|0.000000|gáz (cirko)||11||összkomfortos|nincs|kulteri|2013.04.09||54.000000|-1|http://ingatlan.com/gellerthegy-xi/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+kobolkut+utca/6910213?sid=0&|Köbölkút utca|Gellérthegy
